date,Rate
2018-01-01,43.9991
2018-01-02,44.0731
2018-01-03,43.7025
2018-01-04,43.6914
2018-01-05,43.649
2018-01-06,43.649
2018-01-07,43.6448
2018-01-08,43.7282
2018-01-09,43.688
2018-01-10,43.4071
2018-01-11,43.3446
2018-01-12,43.7705
2018-01-13,43.6158
2018-01-14,43.8395
2018-01-15,44.0286
2018-01-16,44.04
2018-01-17,44.2412
2018-01-18,44.322
2018-01-19,44.1344
2018-01-20,44.1341
2018-01-21,44.2301
2018-01-22,44.5456
2018-01-23,44.5391
2018-01-24,44.8738
2018-01-25,44.5501
2018-01-26,44.3559
2018-01-27,44.3559
2018-01-28,44.351
2018-01-29,44.2346
2018-01-30,44.4178
2018-01-31,44.4804
2018-02-01,44.6585
2018-02-02,44.4163
2018-02-03,44.426
2018-02-04,44.4285
2018-02-05,44.1197
2018-02-06,43.9758
2018-02-07,43.9429
2018-02-08,44.4385
2018-02-09,43.8067
2018-02-10,43.7893
2018-02-11,43.8265
2018-02-12,43.7862
2018-02-13,43.716
2018-02-14,43.8747
2018-02-15,44.1028
2018-02-16,43.9216
2018-02-17,43.902
2018-02-18,43.9186
2018-02-19,43.906
2018-02-20,44.1136
2018-02-21,43.891
2018-02-22,43.9272
2018-02-23,43.856
2018-02-24,43.9745
2018-02-25,43.9153
2018-02-26,43.7092
2018-02-27,43.7848
2018-02-28,43.301
2018-03-01,43.3525
2018-03-02,43.4074
2018-03-03,43.3971
2018-03-04,43.342
2018-03-05,43.4963
2018-03-06,43.5919
2018-03-07,43.5727
2018-03-08,43.3049
2018-03-09,43.3688
2018-03-10,43.3688
2018-03-11,43.3834
2018-03-12,43.5061
2018-03-13,43.6272
2018-03-14,43.5187
2018-03-15,43.5174
2018-03-16,43.5237
2018-03-17,43.5237
2018-03-18,43.5269
2018-03-19,43.7658
2018-03-20,43.695
2018-03-21,44.0661
2018-03-22,44.1519
2018-03-23,44.0449
2018-03-24,44.0728
2018-03-25,44.148
2018-03-26,44.3227
2018-03-27,44.1792
2018-03-28,44.0501
2018-03-29,43.8501
2018-03-30,43.6996
2018-03-31,43.6967
2018-04-01,43.8037
2018-04-02,43.8734
2018-04-03,43.8751
2018-04-04,43.994
2018-04-05,43.7855
2018-04-06,44.0088
2018-04-07,44.0149
2018-04-08,44.0621
2018-04-09,44.1829
2018-04-10,44.2297
2018-04-11,44.1486
2018-04-12,44.4444
2018-04-13,44.3398
2018-04-14,44.3377
2018-04-15,44.3883
2018-04-16,44.7663
2018-04-17,44.601
2018-04-18,44.3324
2018-04-19,43.9865
2018-04-20,43.8112
2018-04-21,43.8531
2018-04-22,43.9028
2018-04-23,43.9575
2018-04-24,43.974
2018-04-25,43.9262
2018-04-26,43.9927
2018-04-27,43.376
2018-04-28,43.3698
2018-04-29,43.4302
2018-04-30,43.4399
2018-05-01,43.1741
2018-05-02,43.0763
2018-05-03,42.9405
2018-05-04,42.8944
2018-05-05,42.926
2018-05-06,43.0172
2018-05-07,43.1886
2018-05-08,43.248
2018-05-09,43.5497
2018-05-10,43.2179
2018-05-11,43.1738
2018-05-12,43.1694
2018-05-13,43.222
2018-05-14,43.2591
2018-05-15,43.3702
2018-05-16,43.3031
2018-05-17,43.3426
2018-05-18,43.2822
2018-05-19,43.3476
2018-05-20,43.3679
2018-05-21,43.1817
2018-05-22,43.0086
2018-05-23,42.8581
2018-05-24,42.8604
2018-05-25,42.446
2018-05-26,42.4494
2018-05-27,42.4525
2018-05-28,42.5558
2018-05-29,42.5453
2018-05-30,42.5654
2018-05-31,42.6576
2018-06-01,42.7195
2018-06-02,42.7074
2018-06-03,42.7371
2018-06-04,42.5959
2018-06-05,42.7891
2018-06-06,42.8315
2018-06-07,42.9169
2018-06-08,42.9095
2018-06-09,42.8389
2018-06-10,42.9922
2018-06-11,42.8292
2018-06-12,42.9143
2018-06-13,42.9842
2018-06-14,42.7273
2018-06-15,43.3356
2018-06-16,43.3356
2018-06-17,43.3583
2018-06-18,43.2621
2018-06-19,43.1078
2018-06-20,43.2467
2018-06-21,43.588
2018-06-22,43.6402
2018-06-23,43.6431
2018-06-24,43.6621
2018-06-25,43.7367
2018-06-26,43.6655
2018-06-27,43.3126
2018-06-28,43.337
2018-06-29,43.553
2018-06-30,43.5481
2018-07-01,43.6564
2018-07-02,43.5887
2018-07-03,43.7333
2018-07-04,43.8694
2018-07-05,43.8928
2018-07-06,44.0285
2018-07-07,44.0158
2018-07-08,44.0992
2018-07-09,43.8436
2018-07-10,43.9629
2018-07-11,44.0428
2018-07-12,43.7874
2018-07-13,44.0115
2018-07-14,44.0221
2018-07-15,44.0727
2018-07-16,44.0301
2018-07-17,43.6679
2018-07-18,43.5267
2018-07-19,43.5844
2018-07-20,43.7618
2018-07-21,43.6233
2018-07-22,43.7955
2018-07-23,43.7805
2018-07-24,43.8624
2018-07-25,43.822
2018-07-26,43.7972
2018-07-27,43.6664
2018-07-28,43.666
2018-07-29,43.7739
2018-07-30,43.7267
2018-07-31,43.5789
2018-08-01,43.5097
2018-08-02,43.3292
2018-08-03,43.1838
2018-08-04,43.1834
2018-08-05,43.2486
2018-08-06,43.1705
2018-08-07,43.0096
2018-08-08,42.7867
2018-08-09,42.6202
2018-08-10,42.4995
2018-08-11,42.4999
2018-08-12,42.5711
2018-08-13,42.6005
2018-08-14,42.3224
2018-08-15,42.3204
2018-08-16,42.1977
2018-08-17,42.2831
2018-08-18,42.2831
2018-08-19,42.2933
2018-08-20,42.1653
2018-08-21,42.1399
2018-08-22,42.2106
2018-08-23,42.1272
2018-08-24,41.873
2018-08-25,41.873
2018-08-26,41.9039
2018-08-27,41.9388
2018-08-28,41.9286
2018-08-29,42.5828
2018-08-30,42.6553
2018-08-31,42.4045
2018-09-01,42.4045
2018-09-02,42.3636
2018-09-03,42.0933
2018-09-04,42.1799
2018-09-05,42.3132
2018-09-06,42.3878
2018-09-07,42.3495
2018-09-08,42.3527
2018-09-09,42.449
2018-09-10,42.7504
2018-09-11,42.6693
2018-09-12,42.6891
2018-09-13,42.7488
2018-09-14,42.6717
2018-09-15,42.6721
2018-09-16,42.7236
2018-09-17,42.8995
2018-09-18,42.861
2018-09-19,42.6046
2018-09-20,42.9183
2018-09-21,42.3147
2018-09-22,42.3177
2018-09-23,42.4198
2018-09-24,42.5049
2018-09-25,42.7216
2018-09-26,42.7278
2018-09-27,42.4125
2018-09-28,42.084
2018-09-29,42.084
2018-09-30,42.1227
2018-10-01,42.1002
2018-10-02,42.0051
2018-10-03,42.088
2018-10-04,42.6276
2018-10-05,43.0034
2018-10-06,43.0041
2018-10-07,43.103
2018-10-08,43.087
2018-10-09,43.3159
2018-10-10,43.5613
2018-10-11,43.2813
